,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
72,Alex Scott,eng ENG,MF,20-063,,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth,1.0
73,Kieffer Moore,wls WAL,"FW,MF",31-076,,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.72,0.5,0.72,Matches,bournemouth,5.0
74,Luis Sinisterra,co COL,"FW,MF",24-128,,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,bournemouth,3.0
75,Hamed Junior Traorè,ci CIV,MF,23-249,,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41,Matches,bournemouth,3.0
76,Chris Mepham,wls WAL,DF,25-352,,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,bournemouth,2.0
77,James Hill,eng ENG,DF,21-286,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bournemouth,1.0
78,Ben Greenwood,ie IRL,DF,20-245,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
79,Gavin Kilkenny,ie IRL,MF,23-264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
80,Ionuț Radu,ro ROU,GK,26-148,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bournemouth,0.0
81,Bryan Mbeumo,cm CMR,"FW,DF",24-077,9.0,9,810.0,9.0,5.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,5.1,3.5,2.1,5.7,28.0,39.0,82.0,0.56,0.11,0.67,0.33,0.44,0.57,0.24,0.81,0.39,0.63,Matches,brentford,
82,Ethan Pinnock,jm JAM,DF,30-147,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,4.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,Matches,brentford,
83,Christian Nørgaard,dk DEN,MF,29-227,9.0,9,760.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.4,2.0,54.0,16.0,0.12,0.12,0.24,0.12,0.24,0.18,0.1,0.28,0.18,0.28,Matches,brentford,
84,Yoane Wissa,cd COD,FW,27-050,9.0,9,758.0,8.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,4.4,4.4,0.9,5.3,17.0,11.0,41.0,0.36,0.12,0.47,0.36,0.47,0.52,0.11,0.63,0.52,0.63,Matches,brentford,
85,Vitaly Janelt,de GER,"MF,DF",25-166,9.0,9,718.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.7,1.0,2.0,32.0,25.0,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.13,0.04,0.13,Matches,brentford,
86,Mathias Jensen,dk DEN,MF,27-295,9.0,9,693.0,7.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.4,0.4,1.5,2.0,5.0,36.0,27.0,0.39,0.13,0.52,0.39,0.52,0.05,0.2,0.25,0.05,0.25,Matches,brentford,
87,Nathan Collins,ie IRL,DF,22-176,9.0,8,730.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.8,1.1,3.0,31.0,4.0,0.0,0.12,0.12,0.0,0.12,0.04,0.1,0.14,0.04,0.14,Matches,brentford,
88,Mark Flekken,nl NED,GK,30-132,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brentford,
89,Aaron Hickey,sct SCO,DF,21-135,8.0,8,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,brentford,
90,Rico Henry,eng ENG,DF,26-107,5.0,5,401.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.1,13.0,20.0,12.0,0.0,0.22,0.22,0.0,0.22,0.02,0.22,0.24,0.02,0.24,Matches,brentford,
91,Kristoffer Ajer,no NOR,DF,25-189,7.0,4,378.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.2,1.8,9.0,11.0,13.0,0.0,0.24,0.24,0.0,0.24,0.14,0.29,0.43,0.14,0.43,Matches,brentford,
